"Reference","Value","Qty","DIGIKEY PN","Customer Reference"
"C1,C2","0.01u","2","399-C0805C103K5RACTUCT-ND","ENCODER"
"J1","Conn_01x05_Pin","1","2057-PH1-05-UA-ND","ENCODER"
"R1,R2,R3,R4,R5","10k","5","A126429CT-ND","ENCODER"
"S1","PEC12R-4220F","1","PEC12R-4220F-S0024-ND","ENCODER"
